starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	2	1	3	1
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	2	1	3	1
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	2	1	3	1
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	2	1	3	1
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	1	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	2	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	2
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
Mon Jan 06 14:07:50 2014	1388988470	0	3	3	3
