starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	6
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
Mon Jan 06 14:05:45 2014	1388988345	0	7	7	7
